Symbol,Atomic Number,Atomic Weight,Atomic Radius,Covalent Radius,Valence Electrons,Density,Electronegativity,Melting Point,Boiling Point,Heat Capacity,Specific Heat,Heat of Fusion,Heat of Vaporization,Thermal Conductivity,Electrical Conductivity,First Ionization Potential,Metal Classification,Bulk Modulus,Shear Modulus,Toxic,Radioactive,Price
Ag,47,107.8682,1.44,1.34,11,10.5,1.93,1235.08,2485,25.35,0.235,11300,250580,4.29,0.63,7.57,Metal,100.7,29.2,FALSE,FALSE,1000
Cd,48,112.411,1.49,1.41,12,8.65,1.69,594.1,1038,26.02,0.23,6192,99570,0.968,0.138,8.99,Metal,46.74,24.6,TRUE,FALSE,4
In,49,114.818,1.63,1.5,3,7.31,1.78,429.32,2353,26.74,0.23,3263,231500,0.816,0.116,5.78,Metal,41.1,3.8,FALSE,FALSE,600
Sn,50,118.71,1.41,1.4,4,5.75,1.96,505.118,2543,27.112,0.227,7029,295800,0.666,0.0917,7.34,Metal,111,18.8,FALSE,FALSE,10
Sb,51,121.757,1.82,1.41,5,6.691,2.05,903.89,1908,25.23,0.21,19870,77140,0.243,0.0288,8.64,Metalloid,38.3,20.4,FALSE,FALSE,5
Te,52,127.6,1.43,1.37,6,6.24,2.1,722.7,1263,25.73,0.2,17490,52550,0.0235,2.00E-06,9.01,Metalloid,23,15.7,FALSE,FALSE,240
I,53,126.90447,,1.33,7,4.93,2.66,386.7,457.5,36.888,0.214,7824,20752,0.00449,8.00E-16,10.45,Nonmetal,,,FALSE,FALSE,80
Xe,54,131.29,2.18,2.09,8,0.00588,2.6,161.3,166.1,20.786,0.158,2297,12636,0.0000569,,12.13,Nonmetal,,,FALSE,FALSE,
Cs,55,132.90543,2.654,2.35,1,1.873,0.79,301.55,951.6,32.21,0.24,2092,67740,0.359,0.0489,3.89,Metal,2.03,0.66,FALSE,FALSE,11000
Ba,56,137.327,2.17,1.98,2,3.594,0.89,1002,1910,28.07,0.204,7750,142000,0.184,0.03,5.21,Metal,10.3,5,FALSE,FALSE,100
La,57,138.9055,1.88,1.69,3,6.145,1.1,1194,3730,27.11,0.19,6200,414000,0.135,0.0126,5.61,Metal,24.3,15.2,FALSE,FALSE,3
Ce,58,140.115,2.7,1.65,3,6.773,1.12,1072,3699,26.94,0.19,5460,414000,0.114,0.0115,6.91,Metal,26.18,12.2,FALSE,FALSE,3
Pr,59,140.90765,1.83,1.65,3,6.773,1.13,1204,3785,27.2,0.19,6890,296800,0.125,0.0148,5.76,Metal,30.6,13.8,FALSE,FALSE,20
Nd,60,144.24,1.82,1.64,3,7.007,1.14,1294,3341,27.45,0.19,7140,273000,0.165,0.0157,6.31,Metal,32.7,14.8,FALSE,FALSE,20
Pm,61,144.9127,1.81,1.63,3,7.22,,1441,3000,,0.18,,,0.179,,5.386,Metal,35,17,FALSE,FALSE,
