"sample_id","plate_no","generation","read_no","week_no","cocktail_no","human_crystal","class3_crystal","class3_clear","class3_other"
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890992200801181222",2,"C1028",0,0.41675,0.26625,0.317
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890604200801181227",2,"C1003",0,0.4335,0.258,0.3085
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890520200801181228",2,"C1090",0,0.44725,0.2425,0.31025
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890585200801181227",2,"C0039",0,0.43125,0.145,0.42375
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890664200801181227",2,"C1390",0,0.43975,0.081,0.47925
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891022200801181221",2,"C1216",0,0.4365,0.1205,0.443
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891034200801181221",2,"C1219",0,0.4465,0.11125,0.44225
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890452200801181229",2,"C1373",0,0.39275,0.2595,0.34775
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890246200801181231",2,"C1166",0,0.44275,0.117,0.44025
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891361200801181217",2,"C0089",0,0.399,0.26825,0.33275
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890466200801181229",2,"C1185",0,0.44925,0.0845,0.46625
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890588200801181227",2,"C0999",0,0.43375,0.12775,0.4385
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890280200801181232",2,"C1366",0,0.4065,0.28975,0.30375
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890432200801181229",2,"C0996",0,0.4645,0.06925,0.46625
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890262200801181231",2,"C1170",0,0.45275,0.111,0.43625
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891026200801181221",2,"C1217",0,0.4125,0.2705,0.317
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890332200801181231",2,"C1079",0,0.4695,0.0895,0.441
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890158200801181233",2,"C1252",0,0.39875,0.29575,0.3055
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890496200801181228",2,"C1084",0,0.4565,0.11875,0.42475
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890156200801181233",2,"C1443",0,0.41275,0.26975,0.3175
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891430200801181217",2,"C1246",0,0.4435,0.0915,0.465
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891288200801181218",2,"C1138",0,0.434,0.294,0.272
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891381200801181217",2,"C0094",0,0.458,0.09075,0.45125
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890120200801181233",2,"C1062",0,0.40625,0.29375,0.3
